Transfer Center	3rd & Reily	3rd & Maclay	3rd & Shamokin	Uptown Shop Ctr	3rd & Estherton	2nd & Lnglestwn	Keystone Tech Inst	Keystone Tech Inst	2nd & Lnglestwn	6th & Parkway	3rd & Estherton	Uptown Shop Ctr	3rd & Shamokin	3rd & Maclay	3rd & Reily	3rd & Walnut	Transfer Center
1	3	4	5	6	7	9	10	10	9	8	7	6	5	4	3	2	1
5:30	5:37	5:42	5:47	-	5:51	5:57	-	-	-	-	-	-	5:10	5:14	5:20	5:25	5:30
6:00	6:07	6:12	6:17	-	6:21	6:27	-	-	-	-	-	-	5:40	5:44	5:50	5:55	6:00
6:30	6:37	6:42	6:47	-	6:51	6:57	-	-	5:57	6:01	6:05	-	6:10	6:14	6:20	6:25	6:30
6:45	6:52	6:57	7:02	-	7:06	7:12	-	-	-	-	-	-	6:25	6:29	6:35	6:40	6:45
7:15	7:22	7:27	7:32	7:36	-	-	-	-	6:27	6:31	6:35	-	6:40	6:44	6:50	6:55	7:00
7:30	7:37	7:42	7:47	7:51	-	-	-	-	-	-	-	6:51	6:55	6:59	7:05	7:10	7:15
(2) 7:40	7:47	7:52	7:55	-	-	-	8:15	-	6:57	7:01	7:05	-	7:10	7:14	7:20	7:25	7:30
7:45	7:52	7:57	8:02	-	8:06	8:12	-	-	7:12	7:16	7:20	-	7:25	7:29	7:35	7:40	7:45
8:00	8:07	8:12	8:17	8:21	-	-	-	-	-	-	-	7:36	7:40	7:44	7:50	7:55	8:00
8:20	8:27	8:32	8:37	8:41	-	-	-	-	-	-	-	7:56	8:00	8:04	8:10	8:15	8:20
8:45	8:52	8:57	9:02	-	9:06	9:12	-	-	8:12	8:16	8:20	-	8:25	8:29	8:35	8:40	8:45
9:15	9:22	9:27	9:32	9:36	-	-	-	-	-	-	-	8:51	8:55	8:59	9:05	9:10	9:15
9:45	9:52	9:57	10:02	10:06	-	-	-	-	9:12	9:16	9:20	-	9:25	9:29	9:35	9:40	9:45
10:15	10:22	10:27	10:32	10:36	-	-	-	-	-	-	-	9:51	9:55	9:59	10:05	10:10	10:15
10:45	10:52	10:57	11:02	-	11:06	11:12	-	-	-	-	-	10:21	10:25	10:29	10:35	10:40	10:45
11:15	11:22	11:27	11:32	11:36	-	-	-	-	-	-	-	10:51	10:55	10:59	11:05	11:10	11:15
11:45	11:52	11:57	12:02	12:06	-	-	-	-	11:12	11:16	11:20	-	11:25	11:29	11:35	11:40	11:45
12:15	12:22	12:27	12:32	12:36	-	-	-	-	-	-	-	11:51	11:55	11:59	12:05	12:10	12:15
12:45	12:52	12:57	1:02	-	1:06	1:12	-	-	-	-	-	12:21	12:25	12:29	12:35	12:40	12:45
1:15	1:22	1:27	1:32	1:36	-	-	-	-	-	-	-	12:51	12:55	12:59	1:05	1:10	1:15
1:45	1:52	1:57	2:02	2:06	-	-	-	-	1:12	1:16	1:20	-	1:25	1:29	1:35	1:40	1:45
2:15	2:22	2:27	2:32	2:36	-	-	-	-	-	-	-	1:51	1:55	1:59	2:05	2:10	2:15
2:45	2:52	2:57	3:02	-	3:06	3:12	-	-	-	-	-	2:21	2:25	2:29	2:35	2:40	2:45
2:55	3:02	3:07	3:12	3:16	-	-	-	-	-	-	-	2:51	2:55	2:59	3:05	3:10	3:15
3:15	3:22	3:27	3:32	3:36	-	-	-	-	3:12	3:16	3:20	-	3:25	3:29	3:35	3:40	3:45
3:45	3:52	3:57	4:02	-	4:06	4:12	-	(3) 3:25	-	-	-	-	3:40	3:45	3:50	3:55	4:00
4:15	4:22	4:27	4:32	-	4:36	4:42	-	-	-	-	-	3:51	3:55	3:59	4:04	4:09	4:14
4:45	4:52	4:57	5:02	5:06	-	-	-	-	4:12	4:16	4:20	-	4:25	4:29	4:35	4:40	4:45
5:15	5:22	5:27	5:32	-	5:36	5:42	-	-	4:42	4:46	4:50	-	4:55	4:59	5:05	5:10	5:15
5:45	5:52	5:57	6:02	-	6:06	6:12	-	-	-	-	-	5:21	5:25	5:29	5:35	5:40	5:45
6:15	6:22	6:27	6:32	6:36	-	-	-	-	5:42	5:46	5:50	-	5:55	5:59	6:05	6:10	6:15
								-	6:12	6:16	6:20	-	6:25	6:29	6:35	6:40	6:45
