From Downtown					Weekday						To Downtown
Transfer Center	Market & 13th	Market & 19th	Market & Hale	29th & Rudy Rd	Kline Village	Kline Village	29th & Rudy Rd	Market & Thomas	Market & 19th	13th & Market	Transfer Center
1	2	3	4	6	7	7	6	5	3	2	1
5:05	5:07	5:10	5:14	5:17	5:21	5:29	5:31	5:33	5:35	5:38	5:45
5:45	5:47	5:50	5:54	5:57	6:01	5:49	5:51	5:53	5:55	5:58	6:05
6:05	6:07	6:10	6:14	6:17	6:21	6:07	6:09	6:12	6:14	6:18	6:25
6:25	6:27	6:30	6:34	6:37	6:41	6:27	6:29	6:32	6:34	6:38	6:45
6:45	6:47	6:50	6:54	6:57	7:01	6:47	6:49	6:52	6:54	6:58	7:05
7:05	7:07	7:10	7:14	7:17	7:21	7:07	7:09	7:12	7:14	7:18	7:25
7:25	7:27	7:30	7:34	7:37	7:41	-	-	7:10	7:12	7:16	7:23
7:45	7:47	7:50	7:54	7:57	8:01	7:27	7:29	7:32	7:34	7:38	7:45
8:05	8:07	8:10	8:14	8:17	8:21	7:47	7:49	7:52	7:54	7:58	8:05
8:25	8:27	8:30	8:34	8:37	8:41	-	-	7:50	7:52	7:56	8:03
9:05	9:07	9:10	9:14	9:17	9:21	8:07	8:09	8:12	8:14	8:18	8:25
9:50	9:55	10:00	10:04	10:07	10:10	8:27	8:29	8:32	8:34	8:38	8:45
10:40	10:45	10:50	10:54	10:57	11:00	8:47	8:49	8:52	8:54	8:58	9:05
11:30	11:35	11:40	11:44	11:47	11:50	9:32	9:34	9:37	9:39	9:43	9:50
12:25	12:30	12:35	12:39	12:41	12:43	10:20	10:22	10:25	10:27	10:32	10:40
1:30	1:35	1:40	1:43	1:47	1:50	11:10	11:12	11:15	11:17	11:22	11:30
2:20	2:25	2:30	2:34	2:37	2:40	12:00	12:02	12:05	12:07	12:12	12:20
2:50	2:55	3:00	3:07	-	-	12:44	12:46	12:49	12:51	12:53	1:00
2:55	3:00	3:05	3:10	-	-	2:00	2:02	2:05	2:07	2:12	2:20
3:05	3:10	3:15	3:19	3:22	3:25	2:45	2:47	2:50	2:52	2:57	3:05
3:50	3:55	4:00	4:04	4:07	4:10	3:30	3:32	3:35	3:37	3:42	3:50
4:15	4:20	4:25	4:29	4:32	4:35	4:15	4:17	4:20	4:22	4:27	4:35
4:35	4:40	4:45	4:49	4:52	4:55	4:40	4:42	4:45	4:47	4:52	5:00
5:10	5:15	5:20	5:24	5:27	5:30	5:15	5:17	5:20	5:22	5:27	5:35
5:35	5:40	5:45	5:49	5:52	5:55	5:50	5:52	5:55	5:57	6:02	6:10
6:25	6:30	6:35	6:39	6:42	6:45	6:05	6:07	6:10	6:12	6:17	6:25
7:15	7:20	7:25	7:29	7:32	7:35	6:50	6:57	7:00	7:02	7:07	7:15
7:55	8:00	8:05	8:09	8:12	8:15	7:35	7:37	7:40	7:42	7:47	7:55
From Downtown					Saturday						To Downtown
Transfer Center	Market & 13th	Market & 19th	Market & Hale	29th & Rudy Rd	Kline Village	Kline Village	29th & Rudy Rd	Market & Thomas	Market & 19th	13th & Market	Transfer Center
1	2	3	4	6	7	7	6	5	3	2	1
7:10	7:14	7:16	7:18	7:20	7:24	7:34	7:36	7:38	7:40	7:43	7:50
7:50	7:54	7:56	7:58	8:00	8:05	8:16	8:20	8:23	8:25	8:28	8:35
8:35	8:39	8:41	8:43	8:45	8:50	9:01	9:05	9:08	9:10	9:13	9:20
9:20	9:24	9:26	9:28	9:30	9:35	9:46	9:50	9:53	9:55	9:58	10:05
10:05	10:09	10:11	10:13	10:15	10:20	10:21	10:25	10:28	10:30	10:33	10:40
10:50	10:54	10:56	10:58	11:00	11:05	11:16	11:20	11:23	11:25	11:28	11:35
11:35	11:39	11:41	11:43	11:45	11:50	12:01	12:05	12:08	12:10	12:13	12:20
12:20	12:24	12:26	12:28	12:30	12:35	12:46	12:50	12:53	12:55	12:58	1:05
1:05	1:09	1:11	1:13	1:15	1:20	1:31	1:35	1:38	1:40	1:43	1:50
1:50	1:54	1:56	1:58	2:00	2:05	2:16	2:20	2:23	2:25	2:28	2:35
2:35	2:39	2:41	2:43	2:45	2:50	3:01	3:05	3:08	3:10	3:13	3:20
3:20	3:24	3:26	3:28	3:30	3:35	3:46	3:50	3:53	3:55	3:58	4:05
4:05	4:09	4:11	4:13	4:15	4:20	4:31	4:35	4:38	4:40	4:43	4:50
4:50	4:54	4:56	4:58	5:00	5:05	5:16	5:20	5:23	5:25	5:28	5:35
5:35	5:39	5:41	5:43	5:45	5:50	5:51	5:55	5:58	6:00	6:03	6:10
6:10	6:14	6:16	6:18	6:20	6:25
