Transfer Center		Cmnwlth & North	6th & Maclay	Uptown Shop Ctr	Uptown Shop Ctr	6th & Vaughn	6th & Maclay	Cmnwlth & North	Transfer Center
1	2	4	5	5	6	4	2	1
8:30	8:34	8:40	8:46	8:08	8:10	8:18	8:25	8:30
9:15	9:19	9:25	9:31	8:53	8:55	9:03	9:10	9:15
10:00	10:04	10:11	10:16	9:38	9:40	9:48	9:55	10:00
10:45	10:49	10:55	11:01	10:23	10:25	10:33	10:40	10:45
11:30	11:34	11:40	11:46	11:14	-	11:18	11:25	11:30
12:15	12:19	12:25	12:31	11:53	11:55	12:03	12:10	12:15
1:00	1:04	1:10	1:16	12:44	-	12:48	12:55	1:00
1:45	1:49	1:55	2:01	1:23	1:25	1:33	1:40	1:45
2:30	2:34	2:40	2:46	2:14	-	2:18	2:25	2:30
3:15	3:19	3:25	3:31	2:53	2:55	3:03	3:10	3:15
4:00	4:04	4:10	4:16	3:38	3:40	3:48	3:55	4:00
4:45	4:49	4:55	5:01	4:23	4:25	4:33	4:40	4:45
From Downtown	Saturday	To Downtown
3/6 Night Loop	Transfer Center	3rd & Reily	6th & Vaughn	3rd & Shamokin	3rd & Reily	3rd & Walnut	Transfer Center
1	3	6	5	3	2	1
6:30	6:38	6:50	6:55	7:02	7:07	7:10
6:50	6:58	7:10	7:15	7:22	7:27	7:30
7:30	7:38	7:50	7:55	8:02	8:07	8:10
8:10	8:18	8:30	8:35	8:42	8:47	8:50
8:50	8:58	9:25	9:30	9:37	9:42	9:45
9:20	9:28	9:40	-	-	-	-
9:45	9:53	10:00	-	-	-	-
10:50	10:58	11:10	-	-	-	-
6:30	6:38	6:50	6:55	7:02	7:07	7:10
8:00	8:08	8:20	8:27	8:32	8:37	8:40
8:40	8:48	9:00	9:07	9:12	9:17	9:20
10:00	10:08	10:20	10:25
Transfer Center	Cmnwlth & North 6th & Reily 6th & Maclay 	Uptown Shop Ctr	Uptown Shop Ctr	6th & Vaughn	6th & Maclay	Cmnwlth & North	Transfer Center
1	2	3	4	5	5	6	4	2	1
6:00	6:05	6:08	6:12	6:21	5:40	5:44	5:53	6:01	6:10
6:30	6:35	6:38	6:42	6:51	6:30	6:34	6:43	6:51	7:00
7:00	7:05	7:08	7:12	7:21	7:00	7:04	7:13	7:21	7:30
7:30	7:35	7:38	7:42	7:51	7:30	7:34	7:43	7:51	8:00
8:00	8:05	8:08	8:12	8:21	8:00	8:04	8:13	8:21	8:30
8:30	8:35	8:38	8:42	8:51	8:30	8:34	8:43	8:51	9:00
9:00	9:05	9:08	9:12	9:21	9:00	9:04	9:13	9:21	9:30
9:30	9:35	9:38	9:42	9:51	9:30	9:34	9:43	9:51	10:00
10:00	10:05	10:08	10:12	10:21	10:00	10:04	10:13	10:21	10:30
10:30	10:35	10:38	10:42	10:51	10:30	10:34	10:43	10:51	11:00
11:00	11:05	11:08	11:12	11:21	11:00	11:04	11:13	11:21	11:30
11:30	11:35	11:38	11:42	11:51	11:30	11:34	11:43	11:51	12:00
12:00	12:05	12:08	12:12	12:21	12:05	-	12:08	12:16	12:25
12:30	12:35	12:38	12:42	12:51	12:30	12:34	12:43	12:51	1:00
1:00	1:05	1:08	1:12	1:21	1:00	1:04	1:13	1:21	1:30
1:30	1:35	1:38	1:42	1:51	1:30	1:34	1:43	1:51	2:00
2:00	2:05	2:08	2:12	2:21	2:00	2:04	2:13	2:21	2:30
2:30	2:35	2:38	2:42	2:51	2:30	2:34	2:43	2:51	3:00
2:50	2:55	2:58	3:02	3:11	3:00	3:04	3:13	3:21	3:30
3:00	3:05	3:08	3:12	3:21	3:30	3:34	3:43	3:51	4:00
3:30	3:35	3:38	3:42	3:51	4:00	4:04	4:13	4:21	4:30
4:00	4:05	4:08	4:12	4:21	4:30	4:34	4:43	4:51	5:00
4:30	4:35	4:38	4:42	4:51	5:00	5:04	5:13	5:21	5:30
5:00	5:05	5:08	5:12	5:21	5:30	5:34	5:43	5:51	6:00
5:30	5:35	5:38	5:42	5:51	6:00	6:04	6:13	6:21	6:30
6:00	6:05	6:08	6:12	6:21	-
